zoneId;NAME;isDestination;zoneClassification;AirDistanceOffset;AreaType
1;211352794;1;0;0;0
2;211352795;1;0;0;0
3;211382796;1;0;0;0
4;211460001;1;0;0;0
5;211462022;1;0;0;0
6;211462024;1;0;0;0
7;211462025;1;0;0;0
8;211462033;1;0;0;0
9;211471999;1;0;0;0
10;211472003;1;0;0;0
11;211472004;1;0;0;0
12;211472005;1;0;0;0
13;211472006;1;0;0;0
14;211472007;1;0;0;0
15;211472008;1;0;0;0
16;211482016;1;0;0;0
17;211482018;1;0;0;0
18;211492035;1;0;0;0
19;211492036;1;0;0;0
20;211492037;1;0;0;0
21;211492038;1;0;0;0
22;211492039;1;0;0;0
23;211492040;1;0;0;0
24;211492041;1;0;0;0
25;211492042;1;0;0;0
26;211492043;1;0;0;0
27;211492044;1;0;0;0
28;211492045;1;0;0;0
29;211492046;1;0;0;0
30;211492047;1;0;0;0
31;211492048;1;0;0;0
32;211492049;1;0;0;0
33;211492050;1;0;0;0
34;211500001;1;0;0;0
35;211500002;1;0;0;0
36;211502023;1;0;0;0
37;211502026;1;0;0;0
38;211502028;1;0;0;0
39;211502029;1;0;0;0
40;211502030;1;0;0;0
41;211502031;1;0;0;0
42;211502032;1;0;0;0
43;211502034;1;0;0;0
44;211522052;1;0;0;0
45;211522053;1;0;0;0
46;211522054;1;0;0;0
47;211522055;1;0;0;0
48;211522056;1;0;0;0
49;211522057;1;0;0;0
50;211522058;1;0;0;0
51;211522059;1;0;0;0
52;211522060;1;0;0;0
53;211522061;1;0;0;0
54;211522062;1;0;0;0
55;211522063;1;0;0;0
56;211522078;1;0;0;0
57;211551996;1;0;0;0
58;211551997;1;0;0;0
59;211551998;1;0;0;0
60;211552000;1;0;0;0
61;211552001;1;0;0;0
62;211552002;1;0;0;0
63;211552019;1;0;0;0
64;211552020;1;0;0;0
65;211552021;1;0;0;0
66;211572123;1;0;0;0
67;211572128;1;0;0;0
68;211612326;1;0;0;0
69;211612341;1;0;0;0
70;211612342;1;0;0;0
71;211612343;1;0;0;0
72;211612344;1;0;0;0
73;211612345;1;0;0;0
74;211612346;1;0;0;0
75;211612347;1;0;0;0
76;211612348;1;0;0;0
77;211612349;1;0;0;0
78;211612351;1;0;0;0
79;211622318;1;0;0;0
80;211622331;1;0;0;0
81;211622335;1;0;0;0
82;211622339;1;0;0;0
83;211622340;1;0;0;0
84;211630001;1;0;0;0
85;211630002;1;0;0;0
86;211630003;1;0;0;0
87;211630004;1;0;0;0
88;211630005;1;0;0;0
89;211630006;1;0;0;0
90;211630007;1;0;0;0
91;211630008;1;0;0;0
92;211632260;1;0;0;0
93;211632266;1;0;0;0
94;211632267;1;0;0;0
95;211632268;1;0;0;0
96;211632275;1;0;0;0
97;211632276;1;0;0;0
98;211632277;1;0;0;0
99;211632280;1;0;0;0
100;211632281;1;0;0;0
101;211632282;1;0;0;0
102;211632283;1;0;0;0
103;211632284;1;0;0;0
104;211632285;1;0;0;0
105;211642286;1;0;0;0
106;211642287;1;0;0;0
107;211642288;1;0;0;0
108;211642289;1;0;0;0
109;211642290;1;0;0;0
110;211642291;1;0;0;0
111;211642292;1;0;0;0
112;211652258;1;0;0;0
113;211652259;1;0;0;0
114;211652261;1;0;0;0
115;211652262;1;0;0;0
116;211652263;1;0;0;0
117;211652264;1;0;0;0
118;211652265;1;0;0;0
119;211662320;1;0;0;0
120;211662330;1;0;0;0
121;211662332;1;0;0;0
122;211662333;1;0;0;0
123;211662334;1;0;0;0
124;211662336;1;0;0;0
125;211662337;1;0;0;0
126;211662338;1;0;0;0
127;211672255;1;0;0;0
128;211672256;1;0;0;0
129;211672257;1;0;0;0
130;211672270;1;0;0;0
131;211672271;1;0;0;0
132;211672272;1;0;0;0
133;211672273;1;0;0;0
134;211682603;1;0;0;0
135;211682605;1;0;0;0
136;211682606;1;0;0;0
137;211682610;1;0;0;0
138;211692590;1;0;0;0
139;211692592;1;0;0;0
140;211692593;1;0;0;0
141;211692595;1;0;0;0
142;211692596;1;0;0;0
143;211692597;1;0;0;0
144;211692598;1;0;0;0
145;211692599;1;0;0;0
146;211692600;1;0;0;0
147;211692601;1;0;0;0
148;211692602;1;0;0;0
149;211702575;1;0;0;0
150;211702576;1;0;0;0
151;211702577;1;0;0;0
152;211702578;1;0;0;0
153;211702579;1;0;0;0
154;211702580;1;0;0;0
155;211712607;1;0;0;0
156;211712611;1;0;0;0
157;211712612;1;0;0;0
158;211712613;1;0;0;0
159;211712618;1;0;0;0
160;211712620;1;0;0;0
161;211722621;1;0;0;0
162;211722623;1;0;0;0
163;211722624;1;0;0;0
164;211722625;1;0;0;0
165;211722626;1;0;0;0
166;211722627;1;0;0;0
167;211722628;1;0;0;0
168;211722629;1;0;0;0
169;211722630;1;0;0;0
